ptr,hxw,kind,target,flip,mirror,orange,blue,white,black,dominant,note,placement,dir
8D0A,6x5,guard,blue,True,True,0,28,99,89,blue,ok,new(untracked),content\guard\scene6_guard_8D0A_mir
8E6F,9x2,guard,blue,False,True,0,12,60,72,blue,ok,new(untracked),content\guard\scene6_guard_8E6F_mir
9E4A,20x2,player,orange,True,False,13,10,131,166,orange,ok,in-place(R2),content\player\player_run_torso_9E4A
8EEB,11x3,guard,blue,False,True,0,43,56,165,blue,ok,new(untracked),content\guard\scene6_guard_8EEB_mir
915E,4x3,player,orange,False,False,9,2,26,59,orange,ok,new(untracked),content\player\scene6_player_915E
8C6A,14x6,guard,blue,True,True,1,19,155,441,blue,ok,new(untracked),content\guard\scene6_guard_8C6A_mir
8CC0,12x6,guard,blue,True,True,0,22,122,384,blue,ok,new(untracked),content\guard\scene6_guard_8CC0_mir
8E0F,8x4,guard,blue,True,True,0,24,114,86,blue,ok,new(untracked),content\guard\scene6_guard_8E0F_mir
9198,10x6,guard,blue,True,True,1,23,276,140,blue,ok,new(untracked),content\guard\scene6_guard_9198_mir
9CAF,19x2,player,orange,False,False,11,0,84,209,orange,ok,in-place(R2),content\player\player_run_legs_9CAF
90A7,4x6,guard,blue,False,True,1,9,57,109,blue,ok,new(untracked),content\guard\scene6_guard_90A7_mir
9E92,12x3,player,orange,False,False,0,0,117,171,tie,F1:no-chroma(all-white/black),in-place(R2),content\player\player_run_torso_9E92
917E,4x6,guard,blue,True,True,0,23,40,113,blue,ok,new(untracked),content\guard\scene6_guard_917E_mir
9E74,14x2,player,orange,False,False,6,0,109,109,orange,ok,in-place(R2),content\player\player_run_torso_9E74
91D6,8x5,guard,blue,True,True,1,38,168,81,blue,ok,new(untracked),content\guard\scene6_guard_91D6_mir
9200,10x7,guard,blue,True,True,1,40,338,141,blue,ok,new(untracked),content\guard\scene6_guard_9200_mir
8D2A,15x5,guard,blue,True,True,1,49,160,330,blue,ok,new(untracked),content\guard\scene6_guard_8D2A_mir
8E57,11x2,guard,blue,False,True,0,0,60,116,tie,F1:no-chroma(all-white/black),new(untracked),content\guard\scene6_guard_8E57_mir
8E31,9x4,guard,blue,True,True,0,22,110,120,blue,ok,new(untracked),content\guard\scene6_guard_8E31_mir
9D1E,24x3,player,orange,True,False,32,0,209,335,orange,ok,in-place(R2),content\player\player_run_legs_9D1E
